N,Iteracoes
71,6928
71,4529
71,8817
71,4641
72,6060
72,6437
72,6806
72,4315
72,6298
72,7795
72,4535
72,6310
72,7192
72,5477
73,6625
73,5231
73,6908
73,7720
73,6037
73,5007
73,9442
73,4348
73,5569
73,4962
74,10700
74,6635
74,5543
74,13931
74,8035
74,8742
74,8544
74,5613
74,7771
74,8819
75,7318
75,11826
75,7137
75,13416
75,5334
75,8456
75,5974
75,7012
75,6389
75,10656
76,9069
76,12977
76,6328
76,10432
76,5627
76,9408
76,7904
76,5205
76,8698
76,4797
77,4684
77,5272
77,5659
77,6246
77,7384
77,6745
77,9835
77,5456
77,5170
77,7497
78,5547
78,4729
78,6961
78,5431
78,7268
78,5412
78,10279
78,9524
78,7127
78,6683
79,8056
79,9892
79,8498
79,6985
79,14271
79,6484
79,9246
79,5865
79,6079
79,5555
80,5995
80,8612
80,8533
80,6990
80,7143
80,8380
80,9949
80,6917
80,15471
80,5028
81,6592
81,5764
81,6402
81,5464
81,6789
81,7857
81,8775
81,7742
81,12401
81,6024
82,7345
82,5323
82,7173
82,5682
82,10546
82,8271
82,6850
82,6084
82,8212
82,7942
83,6346
83,6744
83,11870
83,9243
83,6404
83,7201
83,6641
83,6377
83,7254
83,7269
84,12147
84,7676
84,5693
84,8137
84,9583
84,6249
84,6608
84,5605
84,7667
84,7456
85,6281
85,10020
85,11502
85,7065
85,6376
85,6048
85,7916
85,8443
85,12937
85,7211
86,9215
86,8594
86,7352
86,8739
86,9272
86,10047
86,8289
86,7599
86,9554
86,8268
87,9503
87,8392
87,7738
87,6711
87,10739
87,8569
87,8870
87,11576
87,7525
87,9326
88,7210
88,6404
88,11033
88,7973
88,8587
88,13169
88,6155
88,7147
88,7312
88,7721
89,6511
89,8654
89,7496
89,6981
89,9495
89,8260
89,7585
89,7096
89,8123
89,11438
90,9649
90,9049
90,9119
90,9674
90,19217
90,10247
90,7545
90,7788
90,14900
90,10158
91,6912
91,11578
91,7632
91,7888
91,6910
91,8024
91,10128
91,7709
91,6679
91,8414
92,9006
92,7862
92,9650
92,11989
92,6958
92,7151
92,8799
92,7582
92,7197
92,8339
93,8420
93,10174
93,9386
93,9766
93,8176
93,10435
93,6989
93,11293
93,14995
93,14176
94,7495
94,9681
94,15791
94,9109
94,10214
94,13190
94,12156
94,7601
94,10098
94,9417
95,10217
95,12491
95,6248
95,8871
95,9597
95,9506
95,7793
95,12657
95,13969
95,9263
96,10284
96,11483
96,11478
96,9401
96,14363
96,11231
96,7802
96,10010
96,8785
96,12180
97,7249
97,11166
97,13843
97,11060
97,9441
97,11892
97,8363
97,9464
97,8631
97,9810
98,13259
98,11607
98,19209
98,8888
98,13369
98,7736
98,9300
98,8959
98,11417
98,9994
99,10451
99,9775
99,13121
99,14202
99,10224
99,8375
99,10225
99,8639
99,10089
99,8799
100,12493
100,12355
100,11497
100,8999
100,9937
100,9319
100,11734
100,9461
100,8404
100,13694
101,12521
101,9413
101,9161
101,11457
101,10328
101,8319
101,19246
101,10699
101,12032
101,10568
102,11543
102,12775
102,9177
102,12089
102,12370
102,12630
102,9094
102,8924
102,9460
102,13618
103,18378
103,11663
103,9944
103,12590
103,16111
103,10908
103,9777
103,10163
103,11303
103,9292
104,13608
104,11046
104,9179
104,11317
104,10090
104,11217
104,11963
104,13195
104,10148
104,11197
105,20490
105,11371
105,11611
105,8765
105,12184
105,13431
105,12225
105,10470
105,8852
105,10647
106,19422
106,16710
106,10932
106,13100
106,10254
106,9511
106,9540
106,13070
106,10693
106,12330
107,15303
107,12539
107,8408
107,9469
107,13084
107,16244
107,12358
107,12957
107,15293
107,12069
108,14671
108,10279
108,13999
108,14953
108,11872
108,12909
108,12903
108,16200
108,12113
108,10334
109,12364
109,11686
109,13131
109,13489
109,11437
109,14893
109,9801
109,11853
109,12819
109,10030
110,9806
110,11448
110,9156
110,11435
110,12149
110,19098
110,13476
110,9359
110,10131
110,9515
111,9900
111,17269
111,11661
111,11696
111,10030
111,14257
111,12912
111,10861
111,16129
111,15542
112,15359
