n,iteracoes
476,210819.9
477,189072.3
478,177667.6
479,200784.2
480,219348
481,269585.1
482,235902.9
483,229045.8
484,205860.4
485,230784.2
486,237559.4
487,199574.6
488,223529.6
489,530072.9
490,215671.9
491,254438.2
492,228790.2
493,603789.5
494,204594.4
495,270062.1
496,231027.3
497,292538
498,448250
499,671748.1
500,245658.1
